2026-06-02 22:33:39.098 | INFO     | main:run_paper:525 - Starting paper trading: ['absorption', 'stacked_imbalance']
2026-06-02 22:33:39.130 | INFO     | main:run_paper:535 -   Loaded strategy: absorption
2026-06-02 22:33:39.131 | INFO     | main:run_paper:535 -   Loaded strategy: stacked_imbalance
2026-06-02 22:33:39.132 | INFO     | data.exchange_connector:connect:139 - Connecting to binance (attempt 1/5)...
2026-06-02 22:33:43.989 | INFO     | data.exchange_connector:connect:141 - Connected to binance
2026-06-02 22:33:46.406 | INFO     | data.exchange_connector:start_websocket:496 - WebSocket connected: wss://stream.binance.com:443/stream?streams=icpusdt@depth@100ms/icpusdt@aggTrade
2026-06-02 22:33:47.239 | INFO     | data.exchange_connector:_fetch_rest_snapshot:318 - Snapshot loaded: 1000b/1000a, lastUpdateId=6344123368
2026-06-02 22:33:47.240 | INFO     | data.exchange_connector:_fetch_rest_snapshot:356 - Book re-initialized. Total resyncs so far: 0
2026-06-02 22:34:18.941 | INFO     | knowledge.strategy_library:evaluate:302 - [Absorption] SIGNAL: BUY @ 2.9720 | SL=2.8810 TP=4.2720 | Regime=ACCUMULATION | Score=10.50
2026-06-02 22:34:18.941 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0673% is 6.7x expected 0.0100%. Likely illiquidity. Reject.
2026-06-02 22:34:18.942 | INFO     | main:_on_paper_order_book:661 - [absorption] Fee filter: Spread 0.0673% is 6.7x expected 0.0100%. Likely illiquidity. Reject.
2026-06-02 22:34:18.993 | INFO     | knowledge.strategy_library:evaluate:302 - [Absorption] SIGNAL: BUY @ 2.9715 | SL=2.8805 TP=4.2715 | Regime=ACCUMULATION | Score=10.50
2026-06-02 22:34:18.994 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0337% is 3.4x expected 0.0100%. Likely illiquidity. Reject.
2026-06-02 22:34:18.994 | INFO     | main:_on_paper_order_book:661 - [absorption] Fee filter: Spread 0.0337% is 3.4x expected 0.0100%. Likely illiquidity. Reject.
2026-06-02 22:34:19.117 | INFO     | knowledge.strategy_library:evaluate:302 - [Absorption] SIGNAL: BUY @ 2.9715 | SL=2.8805 TP=4.2715 | Regime=ACCUMULATION | Score=10.47
