2026-06-05 14:12:20.169 | INFO     | main:run_paper:534 - Starting paper trading: ['absorption', 'stacked_imbalance']
2026-06-05 14:12:20.172 | INFO     | main:run_paper:545 -   Loaded strategy: absorption
2026-06-05 14:12:20.172 | INFO     | main:run_paper:545 -   Loaded strategy: stacked_imbalance
2026-06-05 14:12:20.173 | INFO     | data.exchange_connector:connect:95 - Connecting to binance (attempt 1/5)...
2026-06-05 14:12:23.900 | INFO     | data.exchange_connector:connect:97 - Connected to binance
2026-06-05 14:12:23.901 | INFO     | data.exchange_connector:start_websocket:293 - Connecting to WebSocket: wss://stream.binance.com:443/stream?streams=icpusdt@depth@100ms/icpusdt@aggTrade
2026-06-05 14:12:26.179 | INFO     | data.exchange_connector:start_websocket:302 - WebSocket connected: wss://stream.binance.com:443/stream?streams=icpusdt@depth@100ms/icpusdt@aggTrade
2026-06-05 14:12:26.179 | INFO     | data.exchange_connector:start_websocket:305 - Fetching fresh order book snapshot...
2026-06-05 14:12:26.727 | INFO     | data.exchange_connector:_fetch_rest_snapshot:223 - Snapshot loaded: 722b/1000a, lastUpdateId=6357580638 [Resync #1]
2026-06-05 14:12:26.728 | INFO     | data.exchange_connector:_fetch_rest_snapshot:234 - Book synchronized. Total resyncs: 1
2026-06-05 14:12:26.729 | INFO     | data.exchange_connector:start_websocket:312 - Subscribed to market data streams
2026-06-05 14:12:39.833 | INFO     | data.exchange_connector:_handle_trade:480 - [TRACE TRADE #1] keys=['e', 'E', 's', 'a', 'p', 'q', 'f', 'l', 'T', 'm', 'M'] p=2.42600000 q=66.34000000 m=False
2026-06-05 14:12:49.309 | INFO     | data.exchange_connector:_handle_trade:480 - [TRACE TRADE #2] keys=['e', 'E', 's', 'a', 'p', 'q', 'f', 'l', 'T', 'm', 'M'] p=2.42500000 q=2.63000000 m=True
2026-06-05 14:12:57.816 | INFO     | data.exchange_connector:_handle_trade:480 - [TRACE TRADE #3] keys=['e', 'E', 's', 'a', 'p', 'q', 'f', 'l', 'T', 'm', 'M'] p=2.42600000 q=5.67000000 m=False
2026-06-05 14:13:04.058 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: STRONG_BUY @ 2.4255 | SL=2.4085 TP=2.6681 | Regime=UNKNOWN | Score=3.98
2026-06-05 14:13:04.060 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0412% is 4.1x expected 0.0100%. Likely illiquidity. Reject.
2026-06-05 14:13:04.145 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: STRONG_BUY @ 2.4255 | SL=2.4085 TP=2.6681 | Regime=UNKNOWN | Score=3.95
2026-06-05 14:13:04.145 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0412% is 4.1x expected 0.0100%. Likely illiquidity. Reject.
2026-06-05 14:13:04.343 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: STRONG_BUY @ 2.4255 | SL=2.4085 TP=2.6681 | Regime=UNKNOWN | Score=3.93
2026-06-05 14:13:04.345 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0412% is 4.1x expected 0.0100%. Likely illiquidity. Reject.
2026-06-05 14:13:04.897 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: STRONG_BUY @ 2.4255 | SL=2.4085 TP=2.6681 | Regime=UNKNOWN | Score=3.84
2026-06-05 14:13:04.899 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0412% is 4.1x expected 0.0100%. Likely illiquidity. Reject.
2026-06-05 14:13:04.952 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: STRONG_BUY @ 2.4255 | SL=2.4085 TP=2.6681 | Regime=UNKNOWN | Score=3.84
2026-06-05 14:13:04.953 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0412% is 4.1x expected 0.0100%. Likely illiquidity. Reject.
2026-06-05 14:13:05.145 | INFO     | knowledge.strategy_library:evaluate:302 - [Stacked Imbalance] SIGNAL: STRONG_BUY @ 2.4255 | SL=2.4085 TP=2.6681 | Regime=UNKNOWN | Score=3.88
2026-06-05 14:13:05.146 | WARNING  | execution.order_manager:validate_signal_with_fee_filter:245 - [OrderManager] Fee filter REJECTED: Spread 0.0412% is 4.1x expected 0.0100%. Likely illiquidity. Reject.
